words, colour
trichtillomania,teal
attention deficit w/ hyperactivity,teal
attention deflict distorder,teal
attn deficit w hyperact,teal
auspergers,teal
austism,teal
austistic,teal
authism,teal
authistic,teal
autisim,teal
autism,teal
autistic,teal
attention deficit hyperactivity dis,teal
bp1,teal
bulemia,teal
bulemic,teal
bulimea,teal
bullemia,teal
circular insanity,teal
combat neurosis,teal
cyclophrenia,teal
cyclophrenic,teal
cyclothymia,teal
bp2,teal
attention deficit dis,teal
assburger,teal
assberger,teal
trichotilomania,teal
a.d.h.d.,teal
ad/hd,teal
add,teal
alternating insanity,teal
anancastic neurosis,teal
anancastic personality,teal
anankastic personality,teal
anorectic,teal
apserger's,teal
asberger,teal
asburger,teal
aspberger,teal
asperger,teal
aspergian,teal
aspergic,teal
aspie,teal
aspurger,teal
deppression,teal
bolemia,teal
diagnos,teal
o.c.d.,teal
pipolar,teal
rapid cycling,teal
rumination,teal
schiizophrenia,teal
schitzo,teal
schyzophrenia,teal
shizophrenia,teal
shizophrenic,teal
skitsafrantic,teal
skitzafrenic,teal
skitzophrenia,teal
tricho-tillomania,teal
trichollomania,teal
trichotilimania,teal
trichotillomania,teal
trichotillomannia,teal
trichotillosis,teal
scizophrenia,teal
dpression,teal
dual-form insanity,teal
dysthemia,teal
dysthimia,teal
dysthymic,teal
distimea,teal
dystimea,teal
disthymia,teal
dipolar,teal
enxiety,teal
hysterical neurosis,teal
insanity of double form,teal
dystimia,teal
distimia,teal
eating disord,teal
bulimia,teal
bulimic,teal
anorexi,teal
cyclothymic,teal
merycism,teal
llpdd,teal
excoriation,teal
do not deserve to,red
social anxie,teal
mental disease,teal
kill themselves,red
mentally ill,pink
mental health,pink
adhd,teal
anxiety,teal
ocd,teal
ptsd,teal
ptsr,teal
ptss,teal
schizo,teal
depres,teal
mdd,teal
dysthymia,teal
coping,pink
i have felt,red
a poem about,red
important to me,red
i dont want to,red
so angry,purple
dehumanizing,red
cishet,yellow
trauma,pink
lot of pain,red
how are you doing,red
bpd,purple
controlled,red
ableist,yellow
suicidal,pink
a lot to me,red
break my fast,red
i can not afford,red
want to kill,red
blade,red
counselling,yellow
b/p,red
disorder,purple
harm,pink
wrists,pink
mend,red
a friend of mine,red
will be skinny,red
if you ever need,red
ed but,red
i used to have,red
as a child,red
masturbate,red
i will never be,purple
voices in my,red
want to hug,red
want to die,pink
getting worse,red
hear voices,red
days clean,red
dysphoria,red
celexa,yellow
illness,purple
health issues,pink
reach my goal,red
edproblems,red
they do not care,pink
im screaming,red
run away,purple
ranting,red
citalopram,yellow
nausea,pink
borderline,pink
suicide,purple
i do not give a,purple
i have been there,red
genderfluid,yellow
god dammit,red
insecure,pink
gender identity,red
fed,purple
modelling,red
the loss of,red
i am sorry that,red
sorry for being,red
kill myself,red
diseases,red
unbearable,red
number on the scale,red
edprobs,red
okay and,pink
no one would,red
to die in,red
i give up,purple
horrid,pink
sexually,purple
ill people,red
effects,purple
and that i,red
need to talk,red
relapsing,red
emo,red
i am sorry for,red
a cis,red
hipbones,red
wish i was dead,red
deal with it,red
getting bad again,red
feel sick,purple
grieving,red
thinspo,yellow
now i want to,red
i am so sick,red
bothered,purple
admitted,red
prescribed,red
scars,pink
abusive,pink
i was a kid,red
stereotype,red
veteran,red
i stan,red
going to try and,red
weight now,red
outpatient,red
really sad,purple
a victim,red
puking,red
dizzy,red
anal,red
am fasting,red
weeks clean,red
my existence,red
trigger,purple
not racist,red
irl friends,red
mental hospital,red
manic,pink
it is racist,red
hearing voices,red
survivor,red
i totally get it,red
oppressed,pink
calories but,red
ednos,red
intersectional,red
i am scared,purple
wanting to die,red
stains,red
sorry i have not been,red
all food,red
want to help,red
afraid that,red
tense,pink
worthless,purple
much xx,red
feel better soon,red
and never wake up,red
have to deal with,red
the voices in,red
not alone,purple
masturbating,red
gendered,red
picslip,yellow
love xx,red
gives a shit,red
effexor,yellow
erotic,red
calories for,red
attempts,red
do not want to eat,red
was forced,red
offend,red
to make up for,red
fat on my,red
weeb,red
do you think you,red
dietician,red
thigh,red
feel like shit,red
actually crying,red
months clean,red
alcoholism,red
to purge,red
where is the lie,red
shit like this,pink
horrifying,red
tendencies,pink
my sex,red
to hurt myself,red
useless,purple
blocked me for,red
hid,red
wellbutrin,yellow
recover,purple
vile,pink
not know if i can,red
fat and disgusting,red
is bloody,red
hate everything,red
razor,red
guilt,red
hour fast,red
as someone,pink
duloxetine,yellow
horny,red
counsellor,yellow
not eat i,red
feel the same way,red
end my life,red
weight loss,red
free will,red
hallucinating,red
paranoid,pink
feel comfortable,pink
the military,red
i want him,pink
all ok,red
me to kill,red
sexuality,pink
bodyslip,red
thinner than,red
apologising,yellow
destructive,pink
syndrome,red
it is why i,red
orgasm,pink
not purge,red
disgusted with myself,red
damage,purple
cannibal,red
wanker,red
before i was,red
sorry to hear that,red
it hurts so much,red
intersex,yellow
broke my fast,red
hope you are well,red
hope you are ok,red
problematic,pink
identifying as,yellow
so skinny and,red
criticising,red
disappear,purple
manipulating,red
unstable,red
am such a fat,red
our bodies,red
no one likes me,red
helped me a lot,red
i would feel,pink
vaginas,red
treatment,purple
insulted,pink
underweight,red
over calories,red
my mental,pink
injection,red
drained,red
isolated,red
sorrow,red
cuts,purple
weight i will,red
compassion,red
go to the hospital,red
what i am going,red
rough day,red
esteem,red
purged,red
kill him,pink
not available,red
threatening,pink
misogynist,red
into my fast,red
oppression,red
shrink,pink
i have not spoken to,red
voices are,red
collarbones,red
vulnerable,red
inpatient,red
posh,pink
underage,red
